MX_CM_BB_IID_0001,Calle Transmisiones 51 Coapa Ex de San Juan de Dios Tlalpan
MX_CM_BB_MED_0001,Nuevo León 269-A y diagonal ingenieros
MX_CM_BB_MED_0002,Eugenia 1664
MX_CM_BB_MED_0005,Miguel Laurent y Amores
MX_CM_BB_MED_0006,Masaryk y Juan de la Fontaine
MX_CM_BB_MED_0010,Baja California esquina Ensenada
MX_CM_BB_MED_0011,Félix Cuevas (frente a edificio Axa seguros)
MX_CM_BB_MED_0012,Parque Lincoln Emilio Castelar y Edgar Alan Poe 30 A
MX_CM_BB_MED_0013,San Antonio 222 esquina José Clemente Orozco
MX_CM_BB_MED_0020,Jardín Alexander Pushkin Av. Cuauhtémoc 29
MX_CM_BB_MED_0021,Santander 15 Insurgentes Mixcoac
MX_CM_BB_MED_0022,Reforma 1130 esquina monte Athos
MX_CM_BB_MED_0023,AV. DE LAS FUENTES 409
MX_CM_BB_MED_0024,PARQUE MÉXICO Y SONORA 159-175
MX_CM_BB_MED_0027,ÁMSTERDAM Y AV. LAREDO 11
MX_CM_BB_MED_0028,ENTRE VALLADOLID Y CACAHUAMILPA
MX_CM_BB_MED_0031,EJE 1 OTE 2256 COAPA AVANTE COYOACAN
MX_CM_BB_MED_0032,Obrero Mundial 457 y Uxmal Camellón
MX_CM_BB_MED_0034,MASARYK 89 Y TAINE
MX_CM_BB_MED_0035,CHAPULTEPEC 394 ESQ. MEDELLÍN
MX_CM_BB_MED_0036,PARQUE ESPAÑA: SONORA 125-131 Y NUEVO LEÓN
MX_CM_BB_MED_0038,ORIZABA 126 ESQUINA CHIHUAHUA
MX_CM_BB_MED_0040,BLVD. MIGUEL DE CERVANTES SAAVEDRA COL. IRRIGACIÓN
MX_CM_BB_MED_0041,INSURGENTES SUR 628 FRENTE A LAR GALLEGO
MX_CM_BB_MED_0044,COYOACÁN Y JOSÉ MA RICO
MX_CM_BB_MED_0045,HOMERO 1818 ESQUINA JOSÉ LUIS LAGRANGE
MX_CM_BB_MED_0046,PASEO DE LAS PALMAS 275 ESQUINA A SIERRA MOJADA
MX_CM_BB_MED_0047,Masaryk y Solón Frente
MX_CM_BB_MED_0048,ENFRENTE TINTORERÍA MAX CONTRA ESQUINA HOSPITAL OBREGÓN
MX_CM_BB_MED_0049,CAMPOS ELÍSEOS Y ARQUÍMEDES
MX_CM_BB_MED_0050,NUEVO LEÓN 66 ESQUINA LAREDO CAMELLÓN
MX_CM_BB_MED_0051,SAN ANTONIO ESQUINA AUGUSTO RODIN
MX_CM_BB_MED_0052,YUCATÁN CON INTERSECCIÓN INSURGENTES Y MEDELLÍN
MX_CM_BB_MED_0054,Mariano Escobedo Chapultepec Morales
MX_CM_BB_MED_0055,INSURGENTES SUR 963 ESQUINA SAN ANTONIO
MX_CM_BB_MED_0056,EJE 4 PTE ANZURES MIGUEL HIDALGO
MX_CM_BB_MED_0057,PARQUE JOSÉ M OLLOQUI (ACACIAS Y COMUNAL)
MX_CM_BB_MED_0059,AMORES ESQ. LA MORENA
MX_CM_BB_MED_0063,Orizaba 99
MX_CM_BB_MED_0064,BAJA CALIFORNIA 10
MX_CM_BB_MED_0065,CHAPULTEPEC 482 ESQUINA COZUMEL
MX_CM_BB_MED_0066,MASARYK Y BAJO PUENTE DE PERIFÉRICO
MX_CM_BB_MED_0067,JARDÍN LÓPEZ VELARDE CUAUHTÉMOC 363
MX_CM_BB_MED_0069,NUEVO LEÓN 91 ESQUINA FERNANDO MONTES DE OCA
MX_CM_BB_MED_0070,EUGENIA 1416 ESQUINA UNIVERSIDAD
MX_CM_BB_MED_0071,Av. Universidad 319
MX_CM_BB_MED_0072,HORACIO Y ARQUÍMEDES 119
MX_CM_BB_MED_0074,GLORIETA SCOP ESQ. CUMBRES DE MALTRATA
MX_CM_BB_MED_0075,Av. Cuauhtémoc frente al No 330
MX_CM_BB_MED_0077,División del Norte y Agustín González de Cossío
MX_CM_BB_MED_0079,EJÉRCITO NACIONAL 952 ESQUINA FERROCARRIL DE CUERNAVACA
MX_CM_BB_MED_0080,Ámsterdam 134
MX_CM_BB_MED_0081,Monterrey 425 y Obrero Mundial
MX_CM_BB_MED_0082,Av. Insurgentes Sur SN
MX_CM_BB_MED_0083,Orizaba 43 y Puebla
MX_CM_BB_MED_0084,Av. Insurgentes Sur 1987
MX_CM_BB_MED_0087,Av. Insurgentes Sur 2101
MX_CM_BB_MED_0088,Eje 1 Oriente (Av. Canal de Miramontes)
MX_CM_BB_MED_0089,Av. Universidad 1531
MX_CM_BB_MED_0091,Lago Alberto 320
MX_CM_BB_MED_0092,Lago Alberto 320
MX_CM_BB_MED_0093,Plaza Villa de Madrid 8
MX_CM_BB_MED_0094,PARQUE HUNDIDO AV. INSURGENTES
MX_CM_BB_MED_0095,HOMERO Y ARQUÍMEDES 182
MX_CM_BB_MED_0096,GLORIETA DIVISIÓN DEL NORTE
MX_CM_BB_MED_0097,Horacio Torcuato Tasso y Euler
MX_CM_BB_MED_0102,Intersección de Nuevo León Alfonso Reyes 279
MX_CM_BB_MED_0103,Parque México y Michoacán
MX_CM_BB_MED_0104,Reforma arriba de Puente Mariano Escobedo
MX_CM_BB_MED_0105,Mariano Escobedo 450
MX_CM_BB_MED_0106,Masaryk 419 entre Calderón de la Baca
MX_CM_BB_MED_0107,Av. Revolución
MX_CM_BB_MED_0108,ÁLVARO OBREGÓN CAMELLÓN
MX_CM_BB_MED_0109,Jardín Alexander Pushkin (Colima y Cuauhtémoc)
MX_CM_BB_MED_0110,Homero 1521 esquina FC Cuernavaca
MX_CM_BB_MED_0111,Homero y Newton
MX_CM_BB_MED_0112,MARTÍN MENDALDE SALIDA METRO COYOACÁN
MX_CM_BB_MED_0114,Av. Universidad y Av. Popocatépetl
MX_CM_BB_MED_0116,Leibnitz esquina Thiers
MX_CM_BB_MED_0117,Benjamín Franklin 37
MX_CM_BB_MED_0119,PARQUE DEL PERÚ PASEO DE LA REFORMA 1020
MX_CM_BB_MED_0122,ÁMSTERDAM 199 Y CHILPANCINGO
MX_CM_BB_MED_0125,MASARYK 172 Y HEGEL
MX_CM_BB_MED_0129,MASARYK ESQUINA EULER CON MARIANO ESCOBEDO
MX_CM_BB_MED_0131,HORACIO 518 ESQUINA LAMARTINE
MX_CM_BB_MED_0132,SAN ANTONIO ESQUINA REVOLUCIÓN
MX_CM_BB_MED_0133,PASAJE ENTRE VASCO DE QUIROGA Y GUILLERMO GONZÁLEZ CAMARENA
MX_CM_BB_MED_0134,Reforma Frente al Auditorio Nacional
MX_CM_BB_MED_0181,PARQUE ALFONSO ESPARZA OTEO
MX_CM_BB_MED_0184,Parque Jaime Torres Bodet
MX_CM_BB_MED_0192,Insurgentes Sur en la Glorieta de Ángel Urraza
MX_CM_BB_MED_0193,Parque Lincoln Luis G. Urbina
MX_CM_BB_MED_0199,Parque España 49 y Juan de la Barrera
MX_CM_BB_MIC_0030,Plinio 319
MX_CM_BB_OXD_0001,Calle Apolonia Av. Aquiles Serdán 2
MX_CM_BB_OXD_0002,Lago Zirahuen 6 Anáhuac I Secc
MX_CM_BB_OXD_0003,Av. División del Nte. 2728 San Mateo
MX_CM_BB_OXD_0004,Av. Canal de Miramontes 2065 Los Girasoles
MX_CM_BB_OXD_0005,Ejido Culhuacán Calle A Mz. VII Esq
MX_CM_BB_OXD_0006,Oriente 162 Y 166 326
MX_CM_BB_OXD_0007,José Maria Rico Y Rodriguez Saro 1860
MX_CM_BB_OXD_0008,Cerro El Cubiliete Y Cerro Sn Fco 11
MX_CM_BB_OXD_0009,Av. Pedro Henríquez Ureña 540-Local 2
MX_CM_BB_OXD_0010,Simogobel Y Muralla China 736
MX_CM_BB_OXD_0011,Av. Canal De Miramontes 2667
MX_CM_BB_OXD_0012,Justina Y Elena 61 Don Luis 61
MX_CM_BB_OXD_0013,Anillo Periférico y Av. Panamericana Sur
MX_CM_BB_OXD_0014,Montecito y Altadena 110 Dakota
MX_CM_EV_EVD_01_3133,Av. Nuevo León 272-272
MX_CM_EV_MGP_01_2094,Andrés Bello 218 Polanco
MX_CM_EV_MGP_01_2466,Calz. de Las Águilas 2341
MX_CM_EV_MGP_01_2880,Blvd. Adolfo López Mateos 248
MX_CM_EV_MGP_01_2941,Insurgentes Centro 121
MX_CM_EV_MGP_01_2958,Reforma 350
MX_CM_EV_MGP_01_3139,Av. Paseo de La Reforma 202
MX_CM_EV_MGP_01_3147,Once de Abril 174
MX_CM_EV_MGP_01_3229,Av. Canal De Miramontes 2640
MX_CM_EV_MGP_01_3261,Insurgentes 363
MX_CM_EV_MGP_01_3323,Amsterdam 107
MX_CM_EV_MGP_01_3379,Benjamín Franklin 246
MX_CM_EV_MGP_01_3381,Manuel Navarrete 65
MX_CM_EV_MGP_01_3434,Arquímedes 18
MX_CM_EV_MGP_01_3490,Paseo de la Reforma 458
MX_CM_EV_MGP_01_3510,Av. Paseo de la Reforma 146
MX_CM_EV_MGP_01_3519,Revolución 811
MX_CM_EV_MGP_01_3546,Av. Homero 1127
MX_CM_EV_MGP_01_3559,Periférico Sur 4290
MX_CM_EV_MGP_01_3579,Campos Elíseos 290
MX_CM_EV_MGP_01_3591,Arquímedes 173
MX_CM_EV_MGP_01_3596,Av. Insurgentes Sur 324
MX_CM_EV_MGP_01_3605,C. Calderón De La Barca 305
MX_CM_EV_MGP_01_3612,Cal. Río Consulado 1652
MX_CM_EV_MGP_01_3626,Av. Juárez 95
MX_CM_EV_MGP_01_3638,Rupias 1
MX_CM_EV_MGP_01_3643,Av. Río Consulado 649
MX_CM_EV_MGP_02_2094,Andrés Bello 218
MX_CM_EV_MGP_02_3139,Av. Paseo de La Reforma 202
MX_CM_EV_MGP_02_3192,Tlalpan Lotes 1 y 3
MX_CM_EV_MGP_02_3200,Hamburgo 49
MX_CM_EV_MGP_02_3236,Miguel de Cervantes Saavedra 565
MX_CM_EV_MGP_02_3394,Jacarandas 90
MX_CM_EV_MGP_02_3601,Viaducto De Tlalpan 5357
MX_CM_EV_MGP_02_3641,Popocatépetl 145
MX_CM_EV_MGP_03_2339,Av. Circuito Estadio Azteca S/N
MX_CM_EV_MGP_03_2738,Av. Cuauhtémoc 267
MX_CM_EV_MGP_03_2994,Insurgentes 1761
MX_CM_EV_MGP_03_3139,Av. Paseo de La Reforma 202
MX_CM_EV_MGP_03_3225,San Jerónimo y Río Magdalena
MX_CM_EV_MGP_03_3350,Viaducto Miguel Alemán 106
MX_CM_EV_MGP_03_3544,Av Boulevar Adolfo Ruíz Cortinez 5120
MX_CM_EV_MGP_03_3580,Blvd. Picacho Ajusco Lt 63 Mz 48
MX_CM_EV_MGP_03_3615,Av. Constituyentes 555
MX_CM_EV_MGP_04_2094,Andrés Bello 218
MX_CM_EV_MGP_04_2219,Av. Paseo de La Reforma 2603
MX_CM_EV_MGP_04_3074,Paseo de las Palmas 1150
MX_CM_EV_MGP_04_3139,Av. Paseo de La Reforma 202
MX_CM_EV_MGP_04_3233,Av. Constituyentes 107
MX_CM_EV_MGP_04_3617,Insurgentes Sur 85
MX_CM_EV_MGP_04_3622,Av. Parque Lira 57 Y 59
MX_CM_EV_MGP_05_3292,Campos Eliseos 164
MX_CM_EV_MGP_05_3368,Prolongación Reforma 2754
MX_CM_EV_MGP_05_3422,Blvd Adolfo Ruiz Cortinez 3232
MX_CM_EV_MGP_05_3530,Revolución 1300
MX_CM_EV_MGP_05_3548,Horacio 1019
MX_CM_EV_MGP_05_3586,Calle Sur 69 (3042)
MX_CM_EV_MGP_06_2462,Av. Marina Nacional 175
MX_CM_EV_MGP_06_3184,Calz. San Antonio Abad 122
MX_CM_EV_MGP_06_3225,San Jerónimo y Río Magdalena
MX_CM_EV_MGP_06_3280,Insurgentes 4222
MX_CM_EV_MGP_06_3429,Eje 8 Sur 724
MX_CM_EV_MGP_07_2920,Av. Río San Joaquín 343
MX_CM_EV_MGP_07_3492,Viaducto 18 de Julio 85
MX_CM_EV_MGP_07_3599,Altavista 32
MX_CM_EV_MGP_07_3619,Prado Norte 130
MX_CM_EV_MGP_08_2740,Tecamachalco 5
MX_CM_EV_MGP_09_3458,Paseo de la Reforma 185
MX_CM_EV_MGP_09_3489,División Del Norte 2474
MX_CM_EV_MGP_10_3347,Río Tiber 113 Y 119
MX_CM_EV_MGP_11_2397,Av. Javier Barros Sierra 495
MX_CM_EV_MGP_11_2993,Monterrey 75 81 83 87 y 89
MX_CM_EV_MGP_11_3373,Av. Paseo De La Reforma 398 Y 400
MX_CM_EV_MGP_11_3419,Av. Constituyentes 890
MX_CM_EV_MGP_11_3425,Calzada del Hueso 256
MX_CM_EV_MGP_12_3604,Paseo De Los Ahuehuetes 1221
MX_CM_EV_MGP_14_3351,Calz De Tlalpan 2050
MX_CM_EV_MGP_14_3626,Av. Juárez 95
MX_CM_EV_MGP_15_3378,Insurgentes Sur 171
MX_CM_EV_MGP_16_3606,Calz. México Xochimilco 5019
MX_CM_EV_MGP_17_3420,Periférico 1181
MX_CM_EV_MGP_17_3535,Río de la Loza 30
MX_CM_EV_MGP_17_3576,Calzada de Tlalpan 855
MX_CM_EV_MGP_21_3346,Paseo de la Reforma 432
MX_CM_EV_MGP_22_3346,Paseo de la Reforma 432
MX_CM_EV_MGP_23_3346,Paseo de la Reforma 432
MX_CM_VV_COL_414,Blvd. Adolfo López Mateos 2948
MX_CM_VV_COL_419,Blvd. Adolfo López Mateos 2916
MX_CM_VV_COL_440,Blvd. Adolfo López Mateos 164
MX_CM_VV_COL_444,Blvd. Adolfo López Mateos S/N
MX_CM_VV_COL_448,Blvd. Adolfo López Mateos 2305
MX_CM_VV_COL_459,Blvd. Adolfo López Mateos S/N
MX_CM_VV_COL_465,Blvd. Adolfo López Mateos 213
MX_CM_VV_COL_478,Blvd. Adolfo López Mateos 154
MX_CM_VV_COL_491,Blvd. Adolfo López Mateos S/N
MX_CM_VV_COL_505,Blvd. Adolfo López Mateos S/N
MX_CM_VV_COL_509,Blvd. Adolfo López Mateos 314
MX_CM_VV_COL_519,Blvd. Adolfo López Mateos 1990
MX_CM_VV_COL_529,Blvd. Adolfo López Mateos 1926
MX_CM_VV_COL_542,Blvd. Adolfo López Mateos 2020
MX_CM_VV_COL_551,Blvd. Adolfo Lopez Mateos 90
MX_CM_VV_COL_571,Blvd. Adolfo López Mateos 158
MX_CM_VV_COL_576,Blvd. Adolfo López Mateos 1760
MX_CM_VV_COL_588,Blvd. Adolfo López Mateos 38
MX_CM_VV_COL_594,Blvd. Adolfo López Mateos 1630
MX_CM_VV_COL_606,Blvd. Adolfo López Mateos 53
MX_CM_VV_COL_620,Blvd. Adolfo López Mateos 129
MX_CM_VV_COL_628,Blvd. Adolfo López Mateos 163
MX_CM_VV_COL_639,Blvd. Adolfo López Mateos S/N
MX_CM_VV_COL_641,Blvd. Adolfo López Mateos S/N
MX_CM_VV_COL_651,Blvd. Adolfo López Mateos S/N
MX_CM_VV_COL_656,Blvd. Adolfo López Mateos S/N
MX_CM_VV_COL_661,Blvd. Adolfo López Mateos 1347
MX_CM_VV_COL_665,Blvd. Adolfo López Mateos 309
MX_CM_VV_COL_669,Blvd. Adolfo López Mateos 158
MX_CM_VV_COL_679,Blvd. Adolfo López Mateos 1495 86
MX_CM_VV_COL_689,Blvd. Adolfo López Mateos 1535
MX_CM_VV_COL_706,Blvd. Adolfo López Mateos 1587
MX_CM_VV_COL_715,Blvd. Adolfo López Mateos 1535
MX_CM_VV_COL_735,Blvd. Adolfo López Mateos 61
MX_CM_VV_COL_748,Blvd. Adolfo López Mateos 1817
MX_CM_VV_COL_756,Barranca del muerto esquina Blvd. Adolfo López Mateos
MX_CM_VV_COL_767,Blvd. Adolfo López Mateos 1941
MX_CM_VV_COL_778,Blvd. Adolfo López Mateos 2009
MX_CM_VV_COL_791,Blvd. Adolfo López Mateos 261
MX_CM_VV_COL_802,Blvd. Adolfo López Mateos 2259
MX_CM_VV_COL_811,Blvd. Adolfo López Mateos 2273
MX_CM_VV_COL_820,Blvd. Adolfo López Mateos 367
MX_CM_VV_COL_829,Blvd. Adolfo López Mateos 2433
MX_CM_VV_COL_840,Blvd. Adolfo López Mateos 183
MX_CM_VV_COL_856,Blvd. Adolfo López Mateos 2601
MX_CM_VV_COL_863,Blvd. Adolfo López Mateos 19
MX_CM_VV_COL_867,Blvd. Adolfo López Mateos 57
MX_CM_VV_COL_877,Blvd. Adolfo López Mateos 123
MX_CM_VV_COL_881,Blvd. Adolfo López Mateos 45
MX_CM_VV_COL_897,Blvd. Adolfo López Mateos 171-5
MX_CM_VV_POR_0008,Boulevard Adolfo López Mateos S/N.
MX_CM_VV_POR_0015,Blvd. Adolfo López Mateos S/N
MX_CM_VV_POR_0078,Blvd. Adolfo López Mateos 53
MX_CM_VV_POR_0092,Blvd. Adolfo López Mateos 260
MX_EM_BB_IID_0004,Conjunto SEDAGRO s/n Metepec
MX_EM_BB_IID_0005,Conjunto SEDAGRO s/n Metepec
MX_EM_BB_IID_0007,Av. Dr. Gustavo Baz 2160 Tlalnepantla
MX_EM_BB_IID_0008,C. Hormona 2 Naucalpan
MX_EM_BB_OXD_0001,Av. Calimaya Manzana 004 Las Torres
MX_EM_BB_OXD_0002,Emiliano Zapata Y Paseo Tollocan 1230
MX_EM_BB_OXD_0003,Bicentenario Manzana 008 Lerma
MX_EM_BB_OXD_0004,Paseo de los Insurgentes 2 Tenancingo
MX_EM_BB_OXD_0005,Carr Metepec-Zacango Manzana 045
MX_EM_BB_OXD_0006,Carr. Metepec - Zacango 1221 Esq
MX_EM_BB_OXD_0007,Av. Sebastián Lerdo de Tejada 424 Toluca
MX_EM_BB_OXD_0008,León Guzmán 201 Toluca
MX_EM_BB_OXD_0009,Venustiano Carranza 2601 Toluca
MX_EM_BB_OXD_0010,Río Papaloapan 215 Santiago Miltepec
MX_EM_BB_OXD_0011,Mariano Matamoraos y 10 De Mayo S/N Metepec
MX_EM_BB_OXD_0012,16 De Septiembre 124 Santa Ana Tlapaltitlán
MX_EM_BB_OXD_0013,Av. Ignacio Comonfort 302 Santa Ana Tlapaltitlán
MX_EM_BB_OXD_0014,Cjon. de San Pedro 1241 76 San Mateo Atenco
MX_EM_BB_OXD_0015,Paseo Tollocan Av. Baja Velocidad
MX_EM_EV_MGP_09_0008,Av. Lomas Verdes 502
MX_MT_BB_OXD_0001,Av de los rectores s/n San Nicolás de los Garza
MX_MT_BB_OXD_0002,Ciudad Universitaria San Nicolás de los Garza
MX_MT_BB_OXD_0003,20 de Noviembre 1401 Monterrey
